id,scid
705,2
937,207
937,208
937,218
937,22
757,82
757,6
943,274
943,276
943,277
943,278
943,273
832,197
832,186
832,298
832,299
909,31
909,73
838,44
838,30
838,39
1046,142
1046,36
935,66
935,53
848,31
848,36
848,56
848,58
792,36
792,58
792,4
805,229
805,230
1025,44
1030,44
1030,20
845,39
845,27
845,44
1021,44
1000,314
1000,38
1000,54
1000,81
876,291
876,149
876,241
905,27
905,39
746,56
746,29
746,297
746,281
746,280
746,310
769,31
769,29
813,30
813,56
823,29
825,36
825,142
879,31
879,36
682,33
856,56
856,275
847,22
896,94
896,57
976,39
976,53
783,37
783,53
863,39
1077,38
1077,44
1077,55
1077,56
1077,123
949,219
949,296
788,301
788,62
1055,231
461,90
461,196
461,200
461,271
461,308
1056,314
1056,54
1056,53
1083,31
1083,52
1142,36
1142,142
1142,33
1146,73
1146,142
1146,55
1146,56
1129,221
1129,239
1129,102
1121,20
1121,29
998,211
998,142
998,17
998,18
765,209
765,22
765,218
891,47
891,307
891,53
1020,36
1020,140
1020,142
1141,1
1141,36
1141,19
1141,33
1060,306
1060,204
1060,246
1117,30
1117,44
1117,56
1117,59
1117,129
1132,70
1132,229
1132,131
1044,29
1044,40
1044,43
1044,62
981,27
981,29
981,31
981,43
969,36
969,39
1013,53
1013,54
1013,55
910,35
1118,29
1118,31
1202,114
1202,187
1202,97
1163,72
1163,75
964,29
964,36
964,142
1088,54
1088,73
1088,18
1092,29
973,53
973,63
1226,44
1022,250
1022,249
1015,47
1015,53
1015,307
1100,109
1100,243
1100,194
1283,135
1283,124
1054,36
1054,57
1339,33
1339,36
1332,36
1143,31
1143,43
1109,213
1109,242
1109,22
831,27
831,64
831,224
996,27
1402,242
1348,99
1348,100
1298,36
1298,142
1165,16
1165,21
1165,142
992,44
992,282
1193,231
1193,150
1176,29
1176,40
1176,43
1176,62
1285,213
1285,21
953,22
953,218
953,40
953,23
862,25
862,51
862,29
862,30
1349,29
1236,29
1486,320
1240,74
1240,288
1240,142
982,242
911,29
911,16
911,17
1172,53
1172,289
1172,315
938,35
938,44
938,75
1007,142
1007,73
1376,320
