edit_decision_id	article_id	round	editor_id	decision	date_decided
261	154	1	46	1	2010-12-23 13:10:39
262	131	1	46	1	2010-12-23 16:08:46
263	131	1	46	1	2010-12-23 16:11:01
264	129	1	46	1	2010-12-23 16:15:12
265	187	1	10	4	2011-02-03 16:37:32
266	191	1	6	1	2011-02-14 22:28:45
267	192	1	6	1	2011-02-14 22:58:38
268	193	1	6	1	2011-02-14 23:05:18
269	194	1	6	1	2011-02-14 23:13:38
270	159	1	6	1	2011-02-14 23:23:32
271	195	1	6	1	2011-02-16 11:20:50
272	196	1	6	1	2011-02-16 11:30:49
273	197	1	6	1	2011-02-16 12:01:55
274	198	1	6	1	2011-02-19 21:49:15
275	199	1	6	1	2011-02-19 22:00:47
276	200	1	6	1	2011-02-19 22:23:17
277	121	1	10	2	2011-03-14 19:31:10
278	145	1	10	2	2011-03-14 19:33:10
279	170	1	10	2	2011-03-14 19:47:49
280	145	1	10	3	2011-03-17 13:35:57
281	183	1	490	2	2011-03-18 00:14:23
282	177	1	2	1	2011-04-04 20:32:23
283	177	1	2	1	2011-04-04 20:32:57
284	162	1	2	2	2011-04-10 11:09:22
285	145	2	10	1	2011-04-18 18:43:45
286	180	1	42	2	2011-04-21 12:08:07
287	180	1	42	1	2011-04-26 15:59:36
288	208	1	42	4	2011-04-27 10:57:17
289	208	1	42	4	2011-04-27 11:17:39
290	162	1	2	1	2011-05-01 23:58:13
291	209	1	42	4	2011-05-08 19:08:00
292	210	1	42	4	2011-05-08 23:38:37
293	211	1	42	4	2011-05-09 00:13:56
294	121	1	10	1	2011-05-15 14:00:15
295	202	1	42	1	2011-05-20 19:17:10
296	218	1	42	4	2011-07-21 16:00:52
297	213	1	42	1	2011-07-21 16:07:54
298	166	1	10	1	2011-07-29 18:59:48
299	127	1	6	1	2011-07-30 22:13:34
300	219	1	2	2	2011-08-23 16:15:08
301	150	1	2	1	2011-08-24 20:50:31
302	215	1	42	4	2011-09-06 13:31:24
303	179	1	10	1	2011-09-07 20:52:27
304	221	1	42	4	2011-09-22 21:12:20
305	208	1	42	4	2011-09-22 21:28:47
306	207	1	42	2	2011-09-24 21:10:37
307	206	1	42	2	2011-09-25 21:07:48
308	207	1	42	1	2011-09-29 21:03:06
309	233	1	42	4	2011-09-29 23:56:04
310	233	1	42	4	2011-09-30 00:08:19
311	232	1	77	4	2011-09-30 23:40:19
312	123	1	23	4	2011-10-03 22:09:10
313	216	1	42	2	2011-10-12 18:06:20
314	168	1	2	1	2011-10-13 15:25:29
315	134	1	2	4	2011-10-13 21:26:20
316	245	1	6	1	2011-10-18 11:50:38
317	181	1	490	3	2011-10-20 23:50:10
318	181	1	490	2	2011-10-20 23:51:16
319	249	1	6	1	2011-10-22 16:35:16
320	188	1	10	4	2011-10-25 03:55:07
321	254	1	6	1	2011-10-27 22:59:48
322	252	1	77	4	2011-10-31 00:34:04
323	236	1	42	4	2011-11-01 20:17:10
324	253	1	77	4	2011-11-04 20:08:10
325	237	1	77	2	2011-11-10 23:54:02
326	231	1	42	1	2011-11-11 21:01:29
327	272	1	42	4	2011-11-11 21:12:08
328	278	1	6	1	2011-11-24 00:40:13
329	216	1	42	1	2011-11-28 23:44:58
330	239	1	42	4	2011-11-28 23:50:30
331	172	1	10	2	2011-11-30 17:33:10
332	186	1	42	4	2011-12-01 15:15:39
333	186	1	42	4	2011-12-01 15:17:01
334	227	1	42	4	2011-12-01 15:24:23
335	228	1	42	1	2011-12-01 16:25:23
336	233	1	42	4	2011-12-01 21:21:29
337	290	1	6	1	2011-12-07 15:34:50
338	243	1	77	2	2011-12-09 14:21:48
339	237	1	77	3	2011-12-12 10:36:19
340	271	1	77	2	2011-12-12 10:49:15
341	201	1	42	1	2011-12-22 21:20:32
342	240	1	77	2	2011-12-24 08:09:14
343	251	1	77	2	2011-12-24 09:53:01
344	271	1	77	1	2011-12-26 15:14:49
345	270	1	77	2	2011-12-28 08:44:02
346	293	1	42	4	2011-12-30 23:27:54
347	182	1	42	1	2011-12-30 23:36:20
348	172	1	10	1	2012-01-02 20:36:38
349	219	1	2	1	2012-01-04 20:54:33
350	287	1	600	2	2012-01-09 09:10:09
351	256	1	77	2	2012-01-09 22:27:42
352	281	1	77	2	2012-01-12 07:46:17
353	291	1	77	1	2012-01-15 09:26:43
354	256	1	77	3	2012-01-16 22:45:13
355	214	1	77	2	2012-01-17 08:36:16
356	282	1	600	2	2012-01-18 09:26:44
357	237	2	77	2	2012-01-19 17:38:49
358	2	1	6	2	2012-01-19 21:26:18
359	237	2	77	1	2012-01-20 10:18:15
360	212	1	42	2	2012-01-20 23:16:53
361	301	1	10	4	2012-01-22 00:15:30
362	251	1	77	1	2012-01-22 13:00:15
363	270	1	77	3	2012-01-22 16:29:58
364	206	1	42	1	2012-01-23 22:36:20
365	240	1	77	3	2012-01-26 18:47:34
366	264	1	77	2	2012-01-27 15:01:21
367	247	1	77	2	2012-01-28 08:19:46
368	189	1	490	1	2012-01-28 23:42:55
369	189	1	490	2	2012-01-28 23:43:13
370	189	1	490	2	2012-01-28 23:44:31
371	183	1	490	1	2012-01-28 23:51:01
372	170	1	10	3	2012-01-30 03:30:12
373	256	2	77	2	2012-01-30 19:59:58
374	255	1	77	2	2012-01-30 20:50:52
375	212	1	42	1	2012-01-31 22:43:22
376	256	2	77	1	2012-02-04 15:21:59
377	248	1	77	2	2012-02-06 10:04:13
378	273	1	42	2	2012-02-09 20:19:24
379	298	1	10	4	2012-02-16 21:25:07
380	300	1	10	4	2012-02-19 18:42:12
381	296	1	10	4	2012-02-19 23:00:05
382	287	1	600	3	2012-02-20 10:26:26
383	286	1	600	2	2012-02-20 11:20:31
384	204	1	2	1	2012-02-24 01:08:44
385	287	2	600	2	2012-02-24 08:16:16
386	289	1	600	3	2012-03-02 09:00:43
387	247	1	77	3	2012-03-03 09:27:10
388	255	1	77	3	2012-03-03 09:41:39
389	189	1	490	1	2012-03-03 19:56:55
390	292	1	42	4	2012-03-06 23:40:19
391	186	1	42	4	2012-03-06 23:51:26
392	233	1	42	4	2012-03-06 23:53:51
393	235	1	42	1	2012-03-07 00:00:41
394	235	1	42	1	2012-03-07 00:01:31
395	287	2	600	1	2012-03-14 08:47:21
396	244	1	77	2	2012-03-15 09:25:46
397	170	2	10	1	2012-03-20 03:26:13
398	250	1	42	1	2012-03-20 04:03:18
399	250	1	42	1	2012-03-20 04:05:36
400	273	1	42	1	2012-03-20 04:50:57
401	270	2	77	2	2012-03-23 07:07:46
402	165	1	10	2	2012-03-27 03:44:00
403	283	1	42	3	2012-03-27 21:01:41
404	283	1	42	2	2012-03-27 21:07:43
405	248	1	77	1	2012-03-28 09:36:41
406	244	1	77	1	2012-03-28 09:45:57
407	246	1	77	2	2012-03-28 09:52:26
408	276	1	77	2	2012-04-01 14:55:58
409	317	1	10	4	2012-04-03 16:48:06
410	295	1	600	2	2012-04-06 08:00:26
411	217	1	2	1	2012-04-08 09:33:33
412	246	1	77	1	2012-04-09 10:06:50
413	240	2	77	1	2012-04-09 10:19:25
414	283	1	42	4	2012-04-10 21:25:53
